[2024-07-01 16:57:49,990] INFO [ControllerEventThread controllerId=0] Starting (kafka.controller.ControllerEventManager$ControllerEventThread)
[2024-07-01 16:57:50,008] INFO [Controller id=0] 0 successfully elected as the controller. Epoch incremented to 1 and epoch zk version is now 1 (kafka.controller.KafkaController)
[2024-07-01 16:57:50,012] INFO [Controller id=0] Creating FeatureZNode at path: /feature with contents: FeatureZNode(2,Enabled,Map()) (kafka.controller.KafkaController)
[2024-07-01 16:57:50,033] INFO [Controller id=0] Registering handlers (kafka.controller.KafkaController)
[2024-07-01 16:57:50,035] INFO [Controller id=0] Deleting log dir event notifications (kafka.controller.KafkaController)
[2024-07-01 16:57:50,038] INFO [Controller id=0] Deleting isr change notifications (kafka.controller.KafkaController)
[2024-07-01 16:57:50,039] INFO [Controller id=0] Initializing controller context (kafka.controller.KafkaController)
[2024-07-01 16:57:50,052] INFO [Controller id=0] Initialized broker epochs cache: Map(0 -> 25) (kafka.controller.KafkaController)
[2024-07-01 16:57:50,061] DEBUG [Controller id=0] Register BrokerModifications handler for Set(0) (kafka.controller.KafkaController)
[2024-07-01 16:57:50,066] DEBUG [Channel manager on controller 0]: Controller 0 trying to connect to broker 0 (kafka.controller.ControllerChannelManager)
[2024-07-01 16:57:50,071] INFO [Controller id=0] Currently active brokers in the cluster: Set(0) (kafka.controller.KafkaController)
[2024-07-01 16:57:50,071] INFO [Controller id=0] Currently shutting brokers in the cluster: Set() (kafka.controller.KafkaController)
[2024-07-01 16:57:50,071] INFO [Controller id=0] Current list of topics in the cluster: Set() (kafka.controller.KafkaController)
[2024-07-01 16:57:50,071] INFO [RequestSendThread controllerId=0] Starting (kafka.controller.RequestSendThread)
[2024-07-01 16:57:50,072] INFO [Controller id=0] Fetching topic deletions in progress (kafka.controller.KafkaController)
[2024-07-01 16:57:50,075] INFO [Controller id=0] List of topics to be deleted:  (kafka.controller.KafkaController)
[2024-07-01 16:57:50,075] INFO [Controller id=0] List of topics ineligible for deletion:  (kafka.controller.KafkaController)
[2024-07-01 16:57:50,075] INFO [Controller id=0] Initializing topic deletion manager (kafka.controller.KafkaController)
[2024-07-01 16:57:50,075] INFO [Topic Deletion Manager 0] Initializing manager with initial deletions: Set(), initial ineligible deletions: Set() (kafka.controller.TopicDeletionManager)
[2024-07-01 16:57:50,075] INFO [Controller id=0] Sending update metadata request (kafka.controller.KafkaController)
[2024-07-01 16:57:50,083] INFO [ReplicaStateMachine controllerId=0] Initializing replica state (kafka.controller.ZkReplicaStateMachine)
[2024-07-01 16:57:50,084] INFO [ReplicaStateMachine controllerId=0] Triggering online replica state changes (kafka.controller.ZkReplicaStateMachine)
[2024-07-01 16:57:50,086] INFO [ReplicaStateMachine controllerId=0] Triggering offline replica state changes (kafka.controller.ZkReplicaStateMachine)
[2024-07-01 16:57:50,086] DEBUG [ReplicaStateMachine controllerId=0] Started replica state machine with initial state -> Map() (kafka.controller.ZkReplicaStateMachine)
[2024-07-01 16:57:50,087] INFO [PartitionStateMachine controllerId=0] Initializing partition state (kafka.controller.ZkPartitionStateMachine)
[2024-07-01 16:57:50,087] INFO [PartitionStateMachine controllerId=0] Triggering online partition state changes (kafka.controller.ZkPartitionStateMachine)
[2024-07-01 16:57:50,089] DEBUG [PartitionStateMachine controllerId=0] Started partition state machine with initial state -> Map() (kafka.controller.ZkPartitionStateMachine)
[2024-07-01 16:57:50,090] INFO [Controller id=0] Ready to serve as the new controller with epoch 1 (kafka.controller.KafkaController)
[2024-07-01 16:57:50,096] INFO [Controller id=0] Partitions undergoing preferred replica election:  (kafka.controller.KafkaController)
[2024-07-01 16:57:50,096] INFO [Controller id=0] Partitions that completed preferred replica election:  (kafka.controller.KafkaController)
[2024-07-01 16:57:50,096] INFO [Controller id=0] Skipping preferred replica election for partitions due to topic deletion:  (kafka.controller.KafkaController)
[2024-07-01 16:57:50,097] INFO [Controller id=0] Resuming preferred replica election for partitions:  (kafka.controller.KafkaController)
[2024-07-01 16:57:50,097] INFO [Controller id=0] Starting replica leader election (PREFERRED) for partitions  triggered by ZkTriggered (kafka.controller.KafkaController)
[2024-07-01 16:57:50,106] INFO [Controller id=0] Starting the controller scheduler (kafka.controller.KafkaController)
[2024-07-01 16:57:50,601] INFO [RequestSendThread controllerId=0] Controller 0 connected to DESKTOP-2GECLJB:9092 (id: 0 rack: null) for sending state change requests (kafka.controller.RequestSendThread)
[2024-07-01 16:57:55,112] INFO [Controller id=0] Processing automatic preferred replica leader election (kafka.controller.KafkaController)
[2024-07-01 16:57:55,113] TRACE [Controller id=0] Checking need to trigger auto leader balancing (kafka.controller.KafkaController)
[2024-07-01 17:02:55,117] INFO [Controller id=0] Processing automatic preferred replica leader election (kafka.controller.KafkaController)
[2024-07-01 17:02:55,120] TRACE [Controller id=0] Checking need to trigger auto leader balancing (kafka.controller.KafkaController)
[2024-07-01 17:07:55,130] INFO [Controller id=0] Processing automatic preferred replica leader election (kafka.controller.KafkaController)
[2024-07-01 17:07:55,130] TRACE [Controller id=0] Checking need to trigger auto leader balancing (kafka.controller.KafkaController)
[2024-07-01 17:12:55,139] INFO [Controller id=0] Processing automatic preferred replica leader election (kafka.controller.KafkaController)
[2024-07-01 17:12:55,139] TRACE [Controller id=0] Checking need to trigger auto leader balancing (kafka.controller.KafkaController)
[2024-07-01 17:17:55,149] INFO [Controller id=0] Processing automatic preferred replica leader election (kafka.controller.KafkaController)
[2024-07-01 17:17:55,149] TRACE [Controller id=0] Checking need to trigger auto leader balancing (kafka.controller.KafkaController)
[2024-07-01 17:22:55,164] INFO [Controller id=0] Processing automatic preferred replica leader election (kafka.controller.KafkaController)
